
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-02-23 01:16:13 /laporan-penelitian ............................................... ~ 0.16ms
  2026-02-23 01:16:13 /_debugbar/open ................................................. ~ 504.28ms
  2026-02-23 01:16:13 /laporan-pkm ...................................................... ~ 0.10ms
  2026-02-23 01:16:13 /_debugbar/open ................................................... ~ 0.27ms
  2026-02-23 01:16:14 /logo.png ......................................................... ~ 0.23ms
  2026-02-23 01:16:16 /laporan-pkm .................................................... ~ 504.80ms
  2026-02-23 01:16:16 /laporan-luaran ................................................... ~ 0.10ms
  2026-02-23 01:16:16 /_debugbar/open ................................................... ~ 2.75ms
  2026-02-23 01:16:16 /_debugbar/open ................................................. ~ 508.53ms
  2026-02-23 01:16:17 /logo.png ....................................................... ~ 509.05ms
  2026-02-23 01:16:18 /laporan-luaran ................................................. ~ 503.78ms
  2026-02-23 01:16:18 /laporan-mitra .................................................... ~ 0.15ms
  2026-02-23 01:16:18 /_debugbar/open ................................................... ~ 5.68ms
  2026-02-23 01:16:18 /_debugbar/open ................................................. ~ 513.56ms
  2026-02-23 01:17:48 /laporan-penelitian ............................................. ~ 506.00ms
  2026-02-23 01:17:48 /_debugbar/open ................................................... ~ 0.09ms
  2026-02-23 01:17:50 /laporan-penelitian ............................................. ~ 503.74ms
  2026-02-23 01:17:50 /laporan-pkm ...................................................... ~ 0.20ms
  2026-02-23 01:17:50 /_debugbar/open ................................................... ~ 5.54ms
  2026-02-23 01:17:50 /_debugbar/open ................................................... ~ 5.41ms
  2026-02-23 01:17:52 /laporan-pkm .................................................... ~ 512.34ms
  2026-02-23 01:17:52 /_debugbar/open ................................................... ~ 0.42ms
  2026-02-23 01:17:52 /laporan-luaran ................................................... ~ 1.03ms
  2026-02-23 01:17:53 /_debugbar/open ................................................... ~ 0.15ms
  2026-02-23 01:17:55 /laporan-luaran ................................................. ~ 503.74ms
  2026-02-23 01:17:55 /laporan-mitra .................................................... ~ 0.18ms
  2026-02-23 01:17:55 /_debugbar/open ................................................. ~ 516.71ms
  2026-02-23 01:17:55 /_debugbar/open ................................................. ~ 506.16ms
